,rated,turns,winner,white_rating,black_rating,opening_ply
5703,True,32,white,1963,1866,9
5705,True,37,white,2048,1875,2
5706,True,87,white,1859,1946,2
5710,True,65,white,1828,2012,10
5713,True,63,white,1938,1831,7
5714,False,79,white,1831,1764,6
5715,False,103,white,2048,1831,6
5716,False,65,white,1831,2048,2
5717,False,26,white,2048,1831,5
5718,True,135,white,1765,1846,3
5720,True,153,white,1817,1911,1
5722,True,59,white,1850,1812,3
5724,True,76,white,1908,1821,3
5726,True,25,white,1845,1189,2
5728,True,53,white,1439,1341,8
5729,True,55,white,1697,1378,6
5731,True,27,white,1836,1500,4
5732,True,61,white,1478,1295,4
5736,True,73,white,1333,1318,8
5738,True,43,white,1500,1332,5
5739,True,33,white,1391,1342,5
5740,True,71,white,1494,1348,3
5741,True,69,white,1338,1322,3
5742,True,45,white,1337,1458,2
5743,True,95,white,1374,1347,4
5744,True,47,white,1336,1337,3
5747,True,21,white,1325,1353,5
5750,True,35,white,1308,1330,4
5755,True,17,white,1445,1338,5
5756,True,79,white,1426,1347,3
5760,True,43,white,1365,1376,6
5761,True,61,white,1347,1374,5
5763,True,80,white,1346,1397,4
5770,True,58,white,1688,1388,4
5773,False,11,white,2048,1500,2
5774,False,5,white,1500,2048,3
5779,True,57,white,1788,1652,3
5782,True,39,white,1661,1661,2
5787,True,51,white,1666,1553,2
5788,True,49,white,1647,1678,4
5789,True,61,white,1799,1684,4
5790,True,61,white,1500,1694,4
5793,True,56,white,1776,1724,10
5795,True,41,white,1722,1773,2
5798,True,79,white,1778,1722,3
5800,True,95,white,1758,1725,9
5802,True,44,white,1837,1743,3
5803,True,61,white,1734,1714,2
5806,True,93,white,1831,1765,3
5807,True,57,white,1811,1774,10
5809,True,49,white,1844,1771,10
5813,True,47,white,1746,1745,2
5816,True,21,white,1724,1770,2
5817,True,27,white,1254,1068,2
5819,True,31,white,1465,1119,3
5821,True,11,white,1409,1173,3
5822,True,69,white,1452,1210,3
5824,True,35,white,1498,1500,4
5829,False,19,white,2270,2199,1
5831,False,2,white,2270,1962,2
5834,True,41,white,2264,1838,2
5835,True,29,white,2259,1775,1
5837,True,43,white,2230,1929,8
5840,True,65,white,2204,1740,1
5841,True,25,white,2185,1916,9
5844,False,49,white,1510,1500,3
5845,False,21,white,1683,1500,3
5847,False,75,white,1327,1500,3
5848,False,39,white,1370,1500,5
5851,False,91,white,1370,1500,4
5855,False,49,white,1370,1500,3
5856,False,5,white,1370,1500,3
5858,False,75,white,1370,1500,3
5864,True,43,white,1565,1445,5
5866,False,77,white,1338,1607,7
5870,True,117,white,1527,1329,1
5875,True,1,white,1778,1349,1
5877,True,85,white,1645,1353,5
5879,True,57,white,1804,1358,3
5881,True,113,white,1361,1373,3
5886,True,37,white,1747,1392,5
5891,True,45,white,1699,1798,4
5893,True,65,white,1884,1815,6
5894,True,42,white,1675,1322,3
5895,True,7,white,1476,1500,4
5896,False,51,white,1278,1058,4
5897,True,13,white,1143,1097,5
5898,True,41,white,1014,1287,2
5899,False,27,white,1206,1014,6
5901,True,27,white,1424,1092,4
5903,True,17,white,1785,1132,5
5904,False,47,white,1500,1132,7
5906,True,27,white,2066,1145,2
5907,True,85,white,1505,1617,6
5911,True,43,white,1549,1536,2
5912,True,45,white,1525,1430,7
5914,True,39,white,1498,1531,4
5915,True,63,white,1482,1525,5
5916,True,82,white,1464,1496,7
5918,True,15,white,1500,1516,5
5919,True,30,white,1414,1534,3
5920,True,25,white,1525,1377,5
5921,True,3,white,1329,1547,1
5922,True,9,white,1541,1277,4
5923,False,20,white,1290,1541,5
5925,True,22,white,1522,1364,9
5927,True,17,white,1495,1440,11
5928,True,43,white,1478,1513,3
5930,False,60,white,1500,1514,6
5933,True,49,white,1346,1552,4
5935,False,33,white,2621,1122,4
5937,False,21,white,1578,1420,2
5938,True,51,white,1406,1496,3
5939,True,46,white,1309,1420,3
5941,True,13,white,1441,1442,5
5943,True,71,white,1420,1465,4
5944,True,21,white,1463,1476,5
5946,True,51,white,1458,1478,2
5948,True,111,white,1466,1503,3
5950,False,53,white,1426,1456,3
5953,True,113,white,1423,1479,3
5954,False,43,white,2156,1621,5
5955,False,81,white,2156,1511,4
5959,False,58,white,2156,1725,5
5962,False,24,white,2156,1220,3
5964,True,21,white,1903,1898,2
5968,True,19,white,1543,1006,2
5970,True,37,white,1488,1015,1
5972,False,29,white,1500,1016,3
5974,True,51,white,2162,1278,9
5976,True,29,white,1663,1284,5
5979,True,99,white,1253,1917,5
5980,True,77,white,1869,1254,3
5982,True,35,white,1789,1258,5
5984,True,34,white,1483,1270,3
5987,True,63,white,1193,1360,5
5989,False,77,white,1689,1703,4
5990,False,105,white,1807,1689,10
5991,False,81,white,1689,1500,8
5994,False,72,white,1720,1500,3
5995,False,59,white,1653,1569,6
5997,True,105,white,1685,1666,4
5999,True,57,white,1588,1706,3
6000,True,69,white,1699,1508,2
6001,True,77,white,1491,1722,3
6002,True,35,white,1720,1245,2
6003,True,119,white,1714,1479,2
6007,True,61,white,1431,1750,3
6008,True,63,white,1746,1403,2
6010,True,79,white,1550,1763,5
6011,True,71,white,1758,1458,2
6012,True,41,white,1591,1778,3
6013,True,3,white,1775,1379,2
6015,True,113,white,1769,1383,2
6017,True,71,white,1762,1361,5
6020,True,43,white,1778,1484,2
6022,True,51,white,1770,1247,6
6023,True,39,white,1767,1424,5
6026,False,25,white,1500,1243,2
6027,True,43,white,1805,1273,4
6029,True,113,white,1800,1282,4
6032,False,65,white,1901,1287,4
6033,True,33,white,1511,1309,3
6034,False,47,white,1500,1500,12
6038,False,27,white,1500,1500,4
6039,False,45,white,1500,1500,18
6040,False,1,white,2617,1500,1
6042,False,41,white,2272,1500,10
6043,False,30,white,2473,1500,4
6044,False,27,white,2401,1500,4
6045,False,47,white,2326,1500,4
6046,True,53,white,1433,1272,2
6048,True,41,white,1500,1260,2
6049,True,77,white,1257,1414,6
6050,True,73,white,1398,1265,2
6051,True,75,white,1253,1196,6
6053,True,43,white,1413,1263,3
6054,True,49,white,1771,1265,4
6055,True,71,white,1343,1276,10
6057,True,17,white,1552,1270,4
6059,True,81,white,1710,1274,3
6061,True,17,white,1254,1560,4
6062,True,63,white,1468,1260,5
6064,True,69,white,1662,1265,5
6065,True,7,white,1659,1268,3
6070,True,61,white,1329,1279,4
6071,True,69,white,1409,1289,8
6075,True,46,white,1933,1499,5
6076,True,53,white,2137,1939,7
6078,True,73,white,2242,1967,9
6079,True,3,white,1515,1412,2
6080,True,23,white,1721,1500,1
6082,True,89,white,1746,1744,5
6083,True,143,white,1734,1738,2
6088,True,71,white,1708,1652,5
6091,True,119,white,1545,1714,9
6092,True,127,white,1702,1421,4
6094,True,119,white,1795,1700,8
6096,True,101,white,1686,1782,2
6097,True,55,white,1676,1661,5
6098,True,97,white,1581,1690,11
6099,True,123,white,1679,1694,7
6100,True,47,white,1669,1636,8
6102,True,17,white,1697,1673,1
6103,True,137,white,1660,1685,3
6105,True,77,white,1690,1533,8
6106,True,66,white,1690,1701,8
6109,True,43,white,1684,1700,6
6112,True,65,white,1670,1352,6
6113,True,75,white,1690,1679,4
6115,True,61,white,1728,1441,1
6117,True,154,white,1676,1457,2
6127,True,63,white,1734,1383,2
6128,True,89,white,1690,1371,1
6132,False,47,white,1738,1364,4
6134,False,65,white,1738,1364,3
6136,True,125,white,1348,1291,2
6138,False,53,white,1174,1302,2
6144,True,53,white,1273,1290,3
6145,True,39,white,1230,1563,2
6146,True,3,white,1560,1160,3
6147,True,43,white,1445,1576,3
6149,True,36,white,1375,1606,1
6152,True,23,white,1625,1257,2
6155,True,36,white,1482,1648,3
6156,True,49,white,1678,1658,3
6159,True,31,white,1761,1700,10
6162,True,11,white,1681,1571,4
6163,True,53,white,1668,1697,4
6167,True,61,white,1726,1709,9
6168,True,123,white,1700,1673,5
6170,True,31,white,1689,1417,6
6173,True,33,white,1670,1460,5
6174,True,147,white,1662,1542,2
6176,True,23,white,1503,1664,5
6177,True,25,white,1654,1573,5
6178,True,47,white,1643,1611,11
6181,True,79,white,1648,1665,9
6183,True,45,white,1631,1665,3
6184,True,37,white,1659,1470,2
6185,True,33,white,1610,1672,3
6187,True,49,white,1857,1632,4
6189,True,41,white,1850,1904,6
6190,True,35,white,1894,1865,3
6192,True,7,white,1842,1703,4
6193,True,119,white,1826,1772,6
6194,True,95,white,1812,1691,5
6195,True,77,white,1803,1574,6
6196,True,143,white,1806,1823,5
6197,True,49,white,1783,1847,4
6199,True,15,white,1343,1061,3
6200,True,95,white,1195,1002,8
6205,True,27,white,1055,965,3
6206,True,69,white,1379,967,3
6208,True,83,white,1240,958,7
6209,True,55,white,945,964,5
6210,True,61,white,1176,950,6
6211,True,53,white,1174,955,2
6215,True,23,white,1475,1177,7
6217,True,69,white,1308,1190,7
6219,True,89,white,1566,1196,10
6220,True,35,white,1582,1199,6
6221,True,75,white,1956,1574,4
6222,True,71,white,1934,1518,6
6225,True,39,white,1594,1608,10
6226,True,72,white,1792,1600,3
6228,True,65,white,1604,1489,7
6232,True,93,white,1099,1132,1
6233,False,23,white,1500,1099,3
6234,True,7,white,1322,1142,7
6237,True,57,white,1366,1500,1
6240,True,65,white,2191,2041,5
6243,True,35,white,2195,1964,8
6248,True,65,white,2258,2177,11
6250,False,86,white,1354,1914,1
6252,True,51,white,1896,1910,4
6257,True,55,white,1803,1934,12
6258,True,51,white,1776,1888,7
6260,True,37,white,1713,1848,3
6261,True,16,white,1689,1690,6
6263,True,23,white,1629,1713,5
6265,True,23,white,1559,1577,3
6267,True,31,white,1511,1602,3
6269,True,151,white,1788,1473,2
6271,False,60,white,1288,1487,5
6275,True,85,white,1403,1486,2
6278,True,18,white,1677,1425,5
6279,True,39,white,1231,1531,3
6280,False,129,white,1619,1531,5
6283,True,55,white,1409,1507,5
6284,True,101,white,1353,1406,2
6285,True,95,white,1284,1373,4
6286,True,63,white,1194,1449,5
6287,True,13,white,1376,1248,4
6294,True,43,white,1281,1047,2
6296,True,39,white,1226,1112,1
6298,True,7,white,1230,1170,3
6300,True,19,white,1396,1379,3
6303,True,53,white,1581,1581,3
6305,True,47,white,1595,1539,7
6309,True,89,white,1579,1565,4
6315,True,63,white,1578,1576,7
6316,True,75,white,1561,1589,5
6317,True,27,white,1515,1602,3
6318,True,21,white,1604,1613,4
6319,True,71,white,1603,1609,8
6320,True,73,white,1614,1613,3
6323,True,41,white,1617,1343,5
6324,True,25,white,1611,1443,7
6328,True,23,white,1559,1615,3
6331,True,51,white,1738,1645,2
6332,True,61,white,1640,1436,2
6333,True,65,white,1755,1647,6
6335,True,71,white,1645,1664,3
6336,True,49,white,1653,1684,5
6338,True,24,white,1621,1738,10
6339,True,57,white,1620,1632,1
6340,True,23,white,1623,1566,5
6342,True,93,white,1640,1644,3
6343,True,83,white,1581,1657,9
6344,False,71,white,2006,1906,8
6346,True,53,white,1931,1915,6
6349,True,67,white,1500,1403,8
6352,False,61,white,1841,1916,14
6353,False,45,white,1916,1213,11
6354,False,37,white,1916,1562,2
6356,False,35,white,1916,843,8
6357,False,53,white,1808,1916,6
6359,True,37,white,1661,1694,4
6360,True,39,white,1679,1565,6
6366,True,51,white,1705,1635,9
6368,True,59,white,1621,1673,10
6371,True,99,white,1480,1432,6
6376,True,49,white,1470,1625,7
6380,True,87,white,1547,1493,3
6381,True,47,white,1482,1508,5
6382,True,61,white,1472,1450,4
6383,True,57,white,1438,1484,7
6385,True,23,white,1527,1507,2
6389,True,23,white,1508,1509,4
6390,True,27,white,1516,1173,2
6391,True,13,white,1550,1194,2
6392,True,105,white,1481,1235,2
6395,True,27,white,1500,1500,2
6396,True,57,white,1718,1608,4
6399,True,53,white,1580,1520,5
6401,True,119,white,1480,1584,2
6404,True,31,white,1544,1427,2
6410,True,117,white,1560,1467,2
6417,True,129,white,1690,1365,2
6418,True,17,white,1252,1387,1
6419,True,3,white,1359,1401,3
6420,True,109,white,1384,1420,3
6427,True,39,white,1499,1315,1
6428,True,73,white,1480,1389,4
6431,True,43,white,1474,1312,3
6434,True,63,white,1462,1413,2
6435,True,21,white,1435,1500,6
6436,True,59,white,1404,1357,2
6442,True,51,white,1744,1174,2
6444,True,131,white,1423,1182,3
6446,True,47,white,1421,1190,4
6447,True,59,white,1450,1195,4
6448,True,159,white,1301,1204,2
6454,False,61,white,1523,1038,3
6456,True,69,white,1689,1630,2
6457,True,11,white,1752,1740,4
6458,True,41,white,1500,1594,2
6460,True,11,white,1764,1500,2
6461,True,65,white,1445,1649,4
6462,True,25,white,1445,1649,3
6463,True,141,white,1445,1649,3
6464,True,93,white,1445,1649,3
6469,True,27,white,1649,1445,7
6472,True,91,white,1649,1445,10
6475,False,123,white,1649,1445,9
6477,False,99,white,1649,1440,3
6479,False,85,white,1683,1649,4
6480,True,89,white,1649,1330,4
6481,True,33,white,1627,1649,4
6482,True,95,white,1649,1447,2
6484,False,3,white,1703,1649,3
6487,True,43,white,1649,1888,5
6490,True,33,white,1594,1750,4
6492,False,9,white,1670,1577,6
6493,False,41,white,1677,1577,2
6495,True,31,white,1549,1427,4
6498,True,31,white,1560,1440,5
6501,True,67,white,1542,1469,5
6504,False,67,white,1586,1500,3
6505,False,30,white,1586,1452,2
6511,True,49,white,1528,1517,5
6513,False,123,white,1528,1442,8
6514,False,50,white,1528,1790,9
6516,False,8,white,1518,1760,8
6517,False,10,white,1518,1545,3
6518,False,8,white,1518,1368,5
6524,False,5,white,1500,1518,5
6527,True,99,white,1746,1523,7
6529,True,89,white,1359,1532,3
6532,True,39,white,1549,1439,5
6533,True,47,white,1689,1556,8
6534,True,71,white,1577,1567,8
6535,False,43,white,1659,1489,3
6536,False,45,white,1383,1489,6
6537,True,133,white,1643,1924,9
6538,True,34,white,1596,1573,9
6539,True,39,white,1522,1627,7
6540,True,39,white,1461,1434,4
6542,False,31,white,1500,1500,4
6544,True,23,white,1698,1612,2
6545,True,39,white,1500,1327,1
6548,False,87,white,1576,1288,9
6549,True,67,white,1333,1302,6
6550,True,84,white,1335,1318,4
6552,True,67,white,1326,1141,5
6554,False,27,white,1318,1181,6
6555,True,27,white,1309,1101,11
6559,True,131,white,1365,1313,3
6560,True,31,white,1291,1295,6
6561,True,27,white,1581,1298,3
6563,True,43,white,1324,1284,6
6564,True,13,white,1252,1360,5
6565,True,62,white,1333,1272,5
6566,True,55,white,1235,1376,9
6567,True,99,white,1191,1269,4
6568,True,44,white,1241,1200,5
6571,True,21,white,1179,1050,4
6575,True,93,white,1011,1015,4
6578,True,109,white,1483,1222,3
6579,True,55,white,1573,1566,2
6580,True,37,white,1561,1567,9
6582,True,35,white,1538,1545,4
6584,True,41,white,1508,2203,12
6585,True,51,white,1498,1780,7
6587,True,65,white,1570,1507,8
6588,True,61,white,1547,1518,7
6590,False,61,white,1406,1527,7
6592,True,113,white,1514,1350,3
6594,True,33,white,1538,1531,5
6598,True,46,white,1537,1504,7
6599,True,23,white,1984,1505,7
6603,True,65,white,1578,1521,5
6604,True,69,white,1506,1605,4
6605,False,57,white,1757,1040,4
6606,False,19,white,1757,1022,4
6608,False,103,white,1757,1809,4
6609,False,45,white,1962,1757,11
6610,True,89,white,1741,1849,4
6614,False,49,white,1731,1829,3
6616,False,82,white,1731,1811,5
6617,False,53,white,1859,1731,9
6619,False,41,white,1944,1731,3
6622,False,31,white,1806,1731,2
6623,False,53,white,1731,1803,6
6624,True,45,white,1713,1885,11
6626,True,71,white,1701,1821,7
6627,False,89,white,1947,1701,8
6628,False,37,white,1701,1897,6
6630,False,37,white,1701,1919,6
6632,False,61,white,1701,1956,7
6635,False,23,white,1822,1701,3
6636,False,27,white,1833,1701,2
6637,False,73,white,1701,1910,8
6638,False,89,white,1897,1701,11
6641,False,75,white,1832,1701,6
6642,True,57,white,1510,1412,6
6646,True,128,white,1428,1437,4
6649,True,113,white,1507,1445,4
6652,True,45,white,1451,1450,2
6654,True,35,white,1362,1463,4
6656,True,67,white,1574,1497,5
6658,True,83,white,1394,1521,4
6660,True,129,white,1531,1543,4
6662,True,67,white,1673,1546,4
6666,True,107,white,1949,2077,6
6667,True,38,white,1949,1863,13
6669,True,111,white,1949,1845,7
6676,True,119,white,1949,1714,11
6681,True,41,white,1500,1772,9
6682,True,65,white,1392,1067,3
6683,True,25,white,1342,1075,3
6686,True,9,white,1286,1067,3
6688,True,97,white,1428,1073,4
6690,True,43,white,1612,1039,2
6692,True,23,white,1553,1008,4
6694,True,89,white,1297,1024,2
6695,True,31,white,1738,1025,4
6696,True,35,white,1130,1044,5
6699,True,83,white,1321,1826,4
6700,False,57,white,1826,1321,7
6702,False,53,white,1422,1364,4
6703,True,71,white,999,1375,6
6705,False,77,white,1430,1241,2
6706,True,55,white,1259,1324,4
6707,True,57,white,1182,1459,5
6708,True,27,white,1428,1110,6
6711,True,69,white,1500,1022,2
6712,True,75,white,1314,1196,2
6714,True,45,white,1185,1002,3
6717,True,95,white,1107,1201,3
6720,True,79,white,1287,1203,3
6722,False,69,white,1047,1202,2
6728,True,69,white,1356,1208,3
6730,True,57,white,1352,1222,4
6731,True,15,white,1206,1368,3
6732,True,65,white,1306,1214,3
6734,True,35,white,1212,1175,3
6736,True,56,white,1386,1224,2
6737,True,49,white,1315,1239,2
6738,True,35,white,1264,1249,3
6741,True,33,white,1352,1272,2
6746,True,123,white,1240,1047,3
6747,True,81,white,1233,1251,2
6751,True,69,white,1215,1316,2
6752,True,69,white,1281,1224,3
6753,True,63,white,1209,1337,1
6754,True,57,white,1297,1217,3
6755,True,65,white,1202,1375,7
6756,True,39,white,1330,1208,4
6758,False,27,white,1832,1500,3
6760,True,95,white,2002,2056,5
6761,True,51,white,1997,1778,3
6762,True,86,white,1988,1931,5
6763,True,33,white,1916,2001,3
6764,True,81,white,2194,2007,7
6766,True,100,white,2010,2036,3
6767,True,29,white,2035,1492,3
6769,True,53,white,2046,2057,6
6771,True,135,white,2047,1268,5
6774,True,67,white,2034,2002,2
6778,True,33,white,2063,2065,4
6780,True,33,white,2050,1950,5
6783,True,44,white,2328,2031,6
6788,True,15,white,2044,2047,7
6791,True,141,white,2038,1934,4
6792,True,125,white,2151,2046,5
6793,False,79,white,2294,2046,4
6795,True,55,white,2120,2055,4
6799,True,117,white,1418,1419,5
6801,False,5,white,1500,1418,1
6804,True,103,white,1402,1481,7
6805,True,83,white,1471,1412,3
6808,True,69,white,1360,1440,4
6809,False,57,white,1440,1968,4
6810,True,27,white,1435,1216,4
6811,True,9,white,1430,1187,7
6812,True,147,white,990,1452,7
6814,True,61,white,1441,1316,3
6815,True,45,white,1424,1373,5
6817,False,47,white,1424,1508,3
6818,True,49,white,1415,1319,4
6819,True,28,white,1408,1255,3
6821,False,20,white,1401,1979,4
6822,True,23,white,1392,1284,10
6823,False,47,white,1392,1500,4
6824,True,39,white,1739,1395,11
6825,True,17,white,2043,1396,4
6826,True,35,white,1385,1362,5
6827,False,35,white,1500,1385,3
6828,False,33,white,1526,1385,4
6829,False,29,white,1500,1385,3
6830,True,61,white,1377,1255,5
6831,False,23,white,1377,1804,6
6832,False,49,white,1377,1073,4
6834,False,61,white,1343,1377,5
6838,True,26,white,1938,1777,5
6839,True,55,white,1887,1785,4
6840,True,131,white,1966,1797,4
6842,True,79,white,1848,1814,2
6843,True,53,white,1806,1673,3
6844,True,47,white,1824,1817,2
6846,True,31,white,1800,1842,4
6847,True,33,white,1831,1810,3
6848,True,42,white,1927,1840,1
6850,True,147,white,1810,1933,4
6851,True,85,white,2049,1815,3
6852,True,31,white,1926,1823,4
6859,True,51,white,1542,1659,4
6863,True,49,white,1654,1693,4
6864,True,77,white,1748,1671,9
6865,False,35,white,1671,1500,4
6867,True,11,white,1681,1738,3
6868,True,91,white,1731,1691,4
6870,True,25,white,1663,1790,4
6871,True,47,white,1705,1674,4
6873,True,55,white,1712,1499,4
6875,True,43,white,1704,1731,10
6877,False,57,white,1714,1718,6
6878,True,69,white,1803,1723,2
6880,True,173,white,1719,1758,6
6881,True,43,white,1748,1730,6
6883,True,103,white,1264,1763,4
6886,True,107,white,1747,1424,3
6887,True,34,white,1735,1763,2
6893,True,45,white,2247,1718,6
6896,False,98,white,2055,2441,6
6899,True,81,white,1673,1464,3
6903,True,61,white,1479,1407,5
6904,True,105,white,1551,1500,4
6906,False,45,white,1824,1874,6
6907,False,103,white,1783,1874,3
6908,False,63,white,1754,1874,4
6910,False,35,white,1915,1874,7
6911,False,85,white,1874,1882,3
6913,False,17,white,1848,1869,4
6914,False,27,white,1869,1964,10
6916,False,25,white,1869,1652,9
6917,False,95,white,1664,1869,8
6920,False,9,white,1628,1869,3
6923,True,31,white,1346,1386,8
6924,True,66,white,1334,1341,7
6925,True,15,white,1321,1393,7
6926,True,77,white,1310,1303,3
6930,True,32,white,1321,1167,3
6931,True,37,white,1307,1381,5
6933,True,76,white,1302,1349,4
6934,True,83,white,1292,1250,2
6937,True,23,white,1316,1301,9
6940,True,23,white,1730,1290,8
6943,True,57,white,1303,1294,3
6946,True,11,white,1301,1394,7
6947,True,45,white,1283,1107,4
6948,True,16,white,1276,1132,5
6949,True,61,white,1255,1233,3
6952,True,56,white,1269,1338,5
6954,True,54,white,1266,1307,2
6957,True,39,white,1266,1295,7
6958,True,45,white,1257,1192,8
6959,True,25,white,1249,1147,7
6962,False,43,white,1673,1839,11
6964,False,35,white,1673,1839,11
6966,False,23,white,1673,1839,11
6968,True,9,white,2181,2327,6
6970,True,69,white,2315,2128,1
6971,True,77,white,2309,2091,1
6973,False,87,white,2303,1286,2
6977,True,131,white,2273,2138,1
6978,True,63,white,2267,2022,1
6984,True,151,white,2312,2277,4
6986,True,47,white,2258,2123,1
6987,True,51,white,2250,2119,1
6990,True,61,white,2246,2204,1
6995,True,55,white,1508,1511,3
6996,True,69,white,1568,1517,3
6997,True,41,white,1594,1526,4
6998,True,63,white,1609,1534,3
6999,True,68,white,1526,1445,7
7000,True,161,white,1513,1601,7
7002,True,35,white,1613,1535,7
7005,True,43,white,1660,1536,10
7009,True,75,white,1532,1640,5
7017,True,49,white,1562,1534,6
7019,True,51,white,1612,1556,3
7022,True,83,white,1547,1555,5
7032,True,35,white,1546,1601,9
7033,True,65,white,1537,1460,5
7034,True,71,white,1541,1548,3
7036,True,69,white,1471,1576,3
7039,True,53,white,1516,1598,3
7043,False,35,white,1629,1500,8
7046,True,67,white,1903,1864,5
7048,True,73,white,1847,1707,5
7050,False,31,white,1374,1500,1
7051,True,77,white,1956,1715,3
7052,True,53,white,1707,1596,1
7053,True,59,white,1730,1718,6
7056,True,109,white,1713,1738,3
7059,True,44,white,1853,1748,2
7061,True,77,white,1977,1763,4
7064,True,61,white,1741,1874,1
7065,True,81,white,1978,1746,5
7067,True,61,white,1729,1726,4
7069,True,55,white,1712,1463,4
7073,False,11,white,1500,1076,1
7078,False,67,white,1774,1500,4
7085,True,73,white,1764,1544,6
7087,True,21,white,1756,1569,4
7088,True,57,white,1753,1441,3
7089,True,59,white,1745,1598,5
7090,True,11,white,1727,1711,6
7091,True,145,white,1599,1744,3
7092,True,17,white,1742,1321,6
7095,True,59,white,1728,1290,3
7099,True,15,white,1725,1480,6
7101,True,51,white,1714,1489,6
7102,True,115,white,1579,1731,9
7104,True,81,white,1583,1767,6
7105,True,41,white,1764,1404,8
7108,True,17,white,1278,1801,6
7109,False,31,white,1139,1801,8
7110,False,73,white,1801,1500,5
7111,False,14,white,1500,1801,5
7112,False,23,white,1801,1500,4
7113,False,99,white,1421,1801,5
7114,False,87,white,1429,1801,1
7116,True,109,white,1329,1303,4
7117,True,44,white,1449,1337,3
7118,True,57,white,1628,1341,8
7119,True,15,white,1500,1346,6
7120,True,53,white,1193,1362,8
7123,True,75,white,1463,1341,6
7124,True,83,white,1327,1425,5
7125,True,53,white,1544,1332,2
7129,True,91,white,1525,1343,4
7131,True,41,white,1211,1366,4
7137,True,97,white,1476,1362,3
7143,True,189,white,1545,1393,2
7144,True,14,white,1654,1397,4
7147,True,63,white,1393,1427,5
7148,True,69,white,1582,1399,4
7152,True,15,white,1576,1390,4
7153,True,63,white,1565,1397,4
7155,True,17,white,1709,1404,5
7156,True,35,white,1985,1405,4
7157,True,53,white,1389,1525,2
7162,True,67,white,2261,1940,12
7165,True,67,white,2255,1806,11
7168,True,35,white,2230,1942,11
7170,True,27,white,2228,1526,3
7174,True,89,white,2241,1923,2
7176,True,57,white,2227,2107,13
7178,True,85,white,2213,1900,8
7179,True,89,white,2211,1731,5
7180,True,57,white,2208,1748,4
7182,True,37,white,2203,1718,6
7184,True,101,white,1684,2239,2
7188,True,33,white,1490,1220,3
7191,True,29,white,1682,1206,4
7194,True,61,white,1442,1221,3
7196,True,75,white,1589,1227,5
7197,True,37,white,1211,1264,3
7198,True,81,white,1256,1164,4
7201,True,69,white,1069,1295,2
7204,True,51,white,1289,1199,4
7205,True,13,white,1900,1695,4
7208,True,48,white,1740,1812,1
7209,True,85,white,1735,1749,4
7212,True,157,white,1692,1678,8
7216,True,45,white,1495,1509,6
7217,True,99,white,1499,1468,3
7220,True,11,white,1498,1509,2
7223,True,112,white,1527,1357,4
7225,True,47,white,1441,1533,6
7226,True,61,white,1459,1547,2
7228,True,67,white,1533,1398,5
7230,True,48,white,1515,1503,4
7233,True,71,white,1633,1524,2
7235,True,107,white,1520,1468,3
7238,True,83,white,1738,1633,5
7241,True,79,white,1273,1016,4
7245,True,39,white,1500,1041,4
7246,True,119,white,1245,1079,1
7247,False,113,white,1079,1500,4
7250,True,95,white,1310,1117,4
7251,True,11,white,1071,1191,5
7252,True,55,white,1031,1063,3
7253,True,63,white,1199,1054,3
7255,True,31,white,1456,1467,2
7257,True,57,white,1469,1445,1
7258,True,99,white,1425,1481,2
7259,True,93,white,1687,1487,1
7261,True,57,white,1521,1507,2
7263,True,77,white,1487,1457,3
7264,True,125,white,1545,1497,3
7265,True,99,white,1485,1519,3
7267,True,68,white,1458,1509,1
7268,True,35,white,1885,1460,2
7273,True,33,white,1537,1464,6
7274,True,105,white,1450,1551,2
7276,False,4,white,1565,1453,2
7277,True,129,white,1437,1645,1
7278,True,113,white,1623,1442,3
7279,True,95,white,1372,1456,2
7281,True,57,white,1455,1511,2
7282,True,63,white,1987,1456,2
7283,True,45,white,1546,1464,6
7284,True,127,white,1507,1473,2
7290,True,41,white,1649,1483,3
7292,True,69,white,1548,1482,3
7293,True,93,white,1470,1538,4
7295,True,121,white,1415,1493,1
7296,True,93,white,1655,1499,5
7297,True,89,white,1487,1547,2
7298,True,45,white,1493,1498,3
7302,True,143,white,1494,1453,4
7303,True,99,white,1619,1501,3
7304,True,73,white,1564,1510,2
7306,True,33,white,1930,1850,10
7308,False,117,white,1919,1502,4
7309,True,64,white,1961,1930,6
7312,True,38,white,1936,1930,7
7313,True,38,white,1919,1949,4
7315,True,35,white,1935,1631,7
7316,True,36,white,1697,1955,4
7320,True,46,white,1821,1970,6
7322,True,53,white,1982,1644,5
7324,True,43,white,1974,1653,7
7325,True,67,white,1972,1483,4
7327,True,62,white,1689,1981,6
7331,True,19,white,1979,1786,12
7333,True,21,white,1906,2004,4
7335,True,31,white,1999,1590,7
7337,True,13,white,1991,1374,8
7338,True,67,white,2009,2004,4
7340,True,85,white,1993,1860,4
7341,True,81,white,2089,2003,10
7342,False,69,white,1387,1397,7
7344,True,31,white,1524,1160,9
7345,False,87,white,1524,1500,3
7349,True,80,white,1589,1635,5
7350,True,115,white,1759,1608,2
7351,True,149,white,2014,1610,6
7356,True,55,white,2108,1623,5
7358,True,103,white,1635,1436,2
7360,True,83,white,1056,1165,9
7362,True,101,white,1263,1251,3
7363,True,111,white,1287,1205,4
7365,True,119,white,1465,1500,2
7367,False,67,white,1500,1500,4
7368,False,57,white,1500,1500,3
7369,False,59,white,1500,1500,3
